question,solution,rule
"10 – 4 – 20 – 14 – 70 – ?",64,"alternating -6, ×5"
"5 – 10 – 8 – 16 – 14 – ?",28,"alternating ×2, -2"
"6 – 18 – 21 – 63 – 66 – ?",198,"alternating ×3, +3"
"6 – 9 – 13 – 18 – 24 – ?",31,"differences increase by 1: +3, +4, +5, +6, +7"
"8 – 7 – 9 – 6 – 10 – ?",5,"alternating sign differences: -1, +2, -3, +4, -5"
"22 – 19 – 16 – 13 – 10 – ?",7,"-3"
"4 – 3 – 5 – 2 – 6 – ?",1,"alternating sign differences: -1, +2, -3, +4, -5"
"69 – 59 – 51 – 45 – 41 – ?",39,"differences decrease by 2: -10, -8, -6, -4, -2"
"121 – 11 – 16 – 4 – 9 – ?",3,"alternating √, +5"
"3 – 4 – 2 – 6 – 10 - ?",5,"operations cycle +, -, × with operands 1, 2, 3, 4, 5"
"48 – 16 – 21 – 7 – 12 – ?",4,"alternating ÷3, +5"
"25 – 17 – 34 – 26 – 52 - ?",44,"alternating -8, ×2"
"1 – 2 – 4 – 5 – 25 – ?",26,"alternating +1, ²"
"5 – 9 – 17 – 29 – 45 – ?",65,"differences increase by 4: +4, +8, +12, +16, +20"
"13 – 10 – 16 – 13 – 19 – ?",16,"alternating -3, +6"
"6 – 12 – 14 – 28 – 30 – ?",60,"alternating ×2, +2"
"1 – 7 – 9 – 15 – 17 – ?",23,"alternating +6, +2"
"36 – 26 – 18 – 12 – 8 – ?",6,"differences decrease by 2: -10, -8, -6, -4, -2"
"2 – 4 – 12 – 48 – 240 - ?",1440,"multiply by successive integers: ×2, ×3, ×4, ×5, ×6"
"1 – 5 – 3 – 7 – 5 – ?",9,"alternating +4, -2"
"33 – 44 – 22 – 32 – 11 – ?",20,"two interleaved: odd positions -11, even positions -12"
"2 – 4 – 16 – 96 – 768 - ?",7680,"multiply by successive evens: ×2, ×4, ×6, ×8, ×10"
"87 – 83 – 79 – 75 – 71 – ?",67,"-4"
"99 – 105 – 83 – 89 – 67 – ?",73,"alternating +6, -22"
"2 - 4 - 3 - 6 - 5 – ?",10,"alternating ×2, -1"
"33 – 34 – 36 - 39 – 43 – ?",48,"differences increase by 1: +1, +2, +3, +4, +5"
"1 – 3 – 9 – 27 – 81 - ?",243,"×3"
"972 – 324 – 108 – 36 – 12 - ?",4,"÷3"
"1 – 4 – 16 – 256 – 1024 - ?",4096,"×4, ×4, ², ×4, ×4"
"10 – 15 – 12 – 17 – 14 - ?",19,"alternating +5, -3"
"2 - 7 - 3 - 8 - 4 - ?",9,"alternating +5, -4"
"1 – 4 – 9 – 16 – 25 - ?",36,"perfect squares: n²"
"100 – 90 - 81 - 73 - 66 - ?",60,"differences decrease by 1: -10, -9, -8, -7, -6"
"23 - 27 - 33 - 41 - 51 - ?",63,"differences increase by 2: +4, +6, +8, +10, +12"
"75 – 15 – 25 – 5 – 15 - ?",3,"alternating ÷5, +10"
"183 – 305 – 427 – 549 – 671 - ?",793,"+122"
